0,492,8,8
1,490,2,10
2,468,22,32
3,457,11,43
4,451,6,49
5,439,12,61
6,409,30,91
7,394,15,106
8,377,17,123
9,376,1,124
10,374,2,126
11,374,0,126
12,370,4,130
13,366,4,134
14,362,4,138
15,345,17,155
16,343,2,157
17,330,13,170
18,314,16,186
19,301,13,199
20,280,21,220
21,268,12,232
22,261,7,239
23,245,16,255
24,240,5,260
25,223,17,277
26,218,5,282
27,214,4,286
28,186,28,314
29,178,8,322
30,168,10,332
31,167,1,333
32,162,5,338
33,146,16,354
34,137,9,363
35,113,24,387
36,113,0,387
37,110,3,390
38,107,3,393
39,94,13,406
40,67,27,433
41,66,1,434
42,55,11,445
43,50,5,450
44,49,1,451
45,45,4,455
46,7,38,493
47,513,506,999
48,514,1,1000
49,537,23,1023
50,542,5,1028
51,546,4,1032
52,559,13,1045
53,567,8,1053
54,585,18,1071
55,596,11,1082
56,605,9,1091
57,612,7,1098
58,624,12,1110
59,625,1,1111
60,627,2,1113
61,628,1,1114
62,644,16,1130
63,657,13,1143
64,676,19,1162
65,682,6,1168
66,695,13,1181
67,699,4,1185
68,700,1,1186
69,707,7,1193
70,710,3,1196
71,749,39,1235
72,755,6,1241
73,768,13,1254
74,805,37,1291
75,831,26,1317
76,842,11,1328
77,862,20,1348
78,869,7,1355
79,873,4,1359
80,884,11,1370
81,884,0,1370
82,888,4,1374
83,890,2,1376
84,893,3,1379
85,906,13,1392
86,914,8,1400
87,918,4,1404
88,933,15,1419
89,943,10,1429
90,943,0,1429
91,945,2,1431
92,956,11,1442
93,965,9,1451
94,970,5,1456
95,973,3,1459
96,976,3,1462
97,991,15,1477
98,994,3,1480
99,996,2,1482
