0,754,254,254
1,268,486,740
2,514,246,986
3,457,57,1043
4,873,416,1459
5,537,336,1795
6,918,381,2176
7,45,873,3049
8,343,298,3347
9,261,82,3429
10,387,126,3555
11,914,527,4082
12,628,286,4368
13,513,115,4483
14,965,452,4935
15,137,828,5763
16,605,468,6231
17,996,391,6622
18,945,51,6673
19,168,777,7450
20,984,816,8266
21,301,683,8949
22,370,69,9018
23,468,98,9116
24,377,91,9207
25,695,318,9525
26,749,54,9579
27,831,82,9661
28,559,272,9933
29,55,504,10437
30,10,45,10482
31,366,356,10838
32,113,253,11091
33,146,33,11124
34,884,738,11862
35,890,6,11868
36,107,783,12651
37,214,107,12758
38,240,26,12784
39,644,404,13188
40,728,84,13272
41,167,561,13833
42,768,601,14434
43,94,674,15108
44,66,28,15136
45,314,248,15384
46,625,311,15695
47,362,263,15958
48,542,180,16138
49,682,140,16278
50,77,605,16883
51,862,785,17668
52,162,700,18368
53,546,384,18752
54,994,448,19200
55,186,808,20008
56,492,306,20314
57,707,215,20529
58,624,83,20612
59,973,349,20961
60,487,486,21447
61,49,438,21885
62,223,174,22059
63,991,768,22827
64,7,984,23811
65,596,589,24400
66,755,159,24559
67,585,170,24729
68,374,211,24940
69,280,94,25034
70,350,70,25104
71,439,89,25193
72,805,366,25559
73,627,178,25737
74,710,83,25820
75,884,174,25994
76,394,490,26484
77,409,15,26499
78,842,433,26932
79,612,230,27162
80,902,290,27452
81,113,789,28241
82,869,756,28997
83,110,759,29756
84,490,380,30136
85,50,440,30576
86,956,906,31482
87,345,611,32093
88,943,598,32691
89,893,50,32741
90,935,42,32783
91,970,35,32818
92,178,792,33610
93,699,521,34131
94,330,369,34500
95,933,603,35103
96,888,45,35148
97,451,437,35585
98,376,75,35660
99,245,131,35791
100,179,66,35857
101,218,39,35896
102,676,458,36354
103,976,300,36654
104,700,276,36930
105,906,206,37136
106,657,249,37385
107,67,590,37975
108,374,307,38282
109,567,193,38475
110,280,287,38762
111,943,663,39425
