0,882,1146,1146
1,887,3,1161
2,892,3,1176
3,920,3,1260
4,921,3,1263
5,927,3,1281
6,935,3,1305
7,937,3,1311
8,955,3,1365
9,958,3,1374
10,727,693,2067
11,728,3,2070
12,737,3,2097
13,745,3,2121
14,748,3,2130
15,757,3,2157
16,762,3,2172
17,767,3,2187
18,771,3,2199
19,785,3,2241
20,31,2262,4503
21,33,3,4509
22,37,3,4521
23,54,3,4572
24,57,3,4581
25,71,3,4623
26,79,3,4647
27,117,3,4761
28,145,3,4845
29,181,3,4953
30,490,927,5880
31,498,3,5904
32,511,3,5943
33,530,3,6000
34,539,3,6027
35,544,3,6042
36,546,3,6048
37,549,3,6057
38,551,3,6063
39,564,3,6102
40,466,294,6396
41,488,3,6462
42,566,3,6696
43,570,3,6708
44,575,3,6723
45,619,3,6855
46,625,3,6873
47,627,3,6879
48,628,3,6882
49,634,3,6900
50,437,591,7491
51,447,3,7521
52,460,3,7560
53,637,3,8091
54,654,3,8142
55,660,3,8160
56,661,3,8163
57,703,3,8289
58,704,3,8292
59,715,3,8325
60,799,252,8577
61,806,3,8598
62,807,3,8601
63,813,3,8619
64,826,3,8658
65,829,3,8667
66,832,3,8676
67,837,3,8691
68,839,3,8697
69,842,3,8706
70,130,2136,10842
71,184,3,11004
72,185,3,11007
73,186,3,11010
74,196,3,11040
75,198,3,11046
76,203,3,11061
77,232,3,11148
78,251,3,11205
79,289,3,11319
80,664,1125,12444
81,837,3,12963
82,853,3,13011
83,874,3,13074
84,882,3,13098
85,966,3,13350
86,974,3,13374
87,853,3,13887
88,660,3,14466
89,426,3,15168
90,173,759,15927
91,57,3,16275
92,291,3,17319
93,297,3,17337
94,298,3,17340
95,299,3,17343
96,301,3,17349
97,305,3,17361
98,311,3,17379
99,313,3,17385
100,814,1503,18888
101,393,3,21261
102,376,3,21312
103,373,3,21321
104,372,3,21324
105,368,3,21336
106,366,3,21342
107,350,3,21390
108,342,3,21414
109,330,3,21450
110,92,714,22164
111,326,3,23418
