0,715,215,215
1,710,5,220
2,707,3,223
3,700,7,230
4,699,1,231
5,695,4,235
6,682,13,248
7,676,6,254
8,657,19,273
9,644,13,286
10,496,148,434
11,492,4,438
12,490,2,440
13,468,22,462
14,457,11,473
15,451,6,479
16,439,12,491
17,409,30,521
18,394,15,536
19,377,17,553
20,679,302,855
21,628,51,906
22,627,1,907
23,625,2,909
24,624,1,910
25,612,12,922
26,605,7,929
27,596,9,938
28,585,11,949
29,567,18,967
30,99,468,1435
31,94,5,1440
32,107,13,1453
33,110,3,1456
34,113,3,1459
35,113,0,1459
36,137,24,1483
37,146,9,1492
38,162,16,1508
39,167,5,1513
40,770,603,2116
41,768,2,2118
42,755,13,2131
43,749,6,2137
44,805,56,2193
45,831,26,2219
46,842,11,2230
47,862,20,2250
48,869,7,2257
49,873,4,2261
50,21,852,3113
51,7,14,3127
52,45,38,3165
53,49,4,3169
54,50,1,3170
55,55,5,3175
56,66,11,3186
57,67,1,3187
58,168,101,3288
59,178,10,3298
60,552,374,3672
61,546,6,3678
62,542,4,3682
63,537,5,3687
64,559,22,3709
65,514,45,3754
66,513,1,3755
67,376,137,3892
68,374,2,3894
69,374,0,3894
70,166,208,4102
71,186,20,4122
72,214,28,4150
73,218,4,4154
74,223,5,4159
75,240,17,4176
76,245,5,4181
77,261,16,4197
78,268,7,4204
79,280,12,4216
80,174,106,4322
81,301,127,4449
82,314,13,4462
83,330,16,4478
84,343,13,4491
85,345,2,4493
86,362,17,4510
87,366,4,4514
88,370,4,4518
89,884,514,5032
90,388,496,5528
91,884,496,6024
92,888,4,6028
93,890,2,6030
94,893,3,6033
95,906,13,6046
96,914,8,6054
97,918,4,6058
98,933,15,6073
99,943,10,6083
100,800,143,6226
101,943,143,6369
102,945,2,6371
103,956,11,6382
104,965,9,6391
105,970,5,6396
106,973,3,6399
107,976,3,6402
108,991,15,6417
109,994,3,6420
110,160,834,7254
111,996,836,8090
