0,628,384,384
1,703,225,609
2,549,462,1071
3,117,1296,2367
4,882,2295,4662
5,373,1527,6189
6,661,864,7053
7,575,258,7311
8,54,1563,8874
9,958,2712,11586
10,955,9,11595
11,251,2112,13707
12,393,426,14133
13,79,942,15075
14,203,372,15447
15,57,438,15885
16,813,2268,18153
17,745,204,18357
18,289,1368,19725
19,498,627,20352
20,853,1065,21417
21,342,1533,22950
22,311,93,23043
23,566,765,23808
24,546,60,23868
25,57,1467,25335
26,301,732,26067
27,184,351,26418
28,842,1974,28392
29,376,1398,29790
30,974,1794,31584
31,920,162,31746
32,232,2064,33810
33,826,1782,35592
34,807,57,35649
35,551,768,36417
36,771,660,37077
37,839,204,37281
38,198,1923,39204
39,637,1317,40521
40,887,750,41271
41,660,681,41952
42,627,99,42051
43,660,99,42150
44,372,864,43014
45,704,996,44010
46,935,693,44703
47,460,1425,46128
48,853,1179,47307
49,892,117,47424
50,966,222,47646
51,196,2310,49956
52,368,516,50472
53,874,1518,51990
54,33,2523,54513
55,806,2319,56832
56,544,786,57618
57,299,735,58353
58,715,1248,59601
59,634,243,59844
60,619,45,59889
61,539,240,60129
62,511,84,60213
63,570,177,60390
64,654,252,60642
65,297,1071,61713
66,326,87,61800
67,145,543,62343
68,181,108,62451
69,185,12,62463
70,186,3,62466
71,937,2253,64719
72,625,936,65655
73,829,612,66267
74,767,186,66453
75,447,960,67413
76,291,468,67881
77,488,591,68472
78,757,807,69279
79,305,1356,70635
80,71,702,71337
81,921,2550,73887
82,330,1773,75660
83,748,1254,76914
84,927,537,77451
85,37,2670,80121
86,530,1479,81600
87,313,651,82251
88,728,1245,83496
89,350,1134,84630
90,832,1446,86076
91,837,15,86091
92,837,0,86091
93,737,300,86391
94,298,1317,87708
95,785,1461,89169
96,762,69,89238
97,564,594,89832
98,426,414,90246
99,366,180,90426
