0,599,99,99
1,605,1,105
2,612,1,112
3,624,1,124
4,625,1,125
5,627,1,127
6,628,1,128
7,644,1,144
8,657,1,157
9,676,1,176
10,881,205,381
11,884,1,384
12,888,1,388
13,890,1,390
14,893,1,393
15,906,1,406
16,914,1,414
17,918,1,418
18,933,1,433
19,943,1,443
20,597,346,789
21,682,1,874
22,695,1,887
23,699,1,891
24,700,1,892
25,707,1,899
26,710,1,902
27,749,1,941
28,755,1,947
29,768,1,960
30,297,471,1431
31,301,1,1435
32,314,1,1448
33,330,1,1464
34,343,1,1477
35,345,1,1479
36,362,1,1496
37,366,1,1500
38,370,1,1504
39,374,1,1508
40,696,322,1830
41,805,1,1939
42,831,1,1965
43,842,1,1976
44,862,1,1996
45,869,1,2003
46,873,1,2007
47,884,1,2018
48,943,1,2077
49,945,1,2079
50,667,278,2357
51,956,1,2646
52,965,1,2655
53,970,1,2660
54,973,1,2663
55,976,1,2666
56,991,1,2681
57,994,1,2684
58,996,1,2686
59,7,1,3696
60,594,587,4283
61,596,1,4285
62,45,1,5733
63,49,1,5737
64,50,1,5738
65,55,1,5743
66,66,1,5754
67,67,1,5755
68,94,1,5782
69,107,1,5795
70,22,85,5880
71,110,1,5968
72,113,1,5971
73,137,1,5995
74,146,1,6004
75,162,1,6020
76,167,1,6025
77,168,1,6026
78,178,1,6036
79,186,1,6044
80,194,8,6052
81,214,1,6072
82,218,1,6076
83,223,1,6081
84,240,1,6098
85,245,1,6103
86,261,1,6119
87,268,1,6126
88,280,1,6138
89,374,1,6232
90,254,120,6352
91,376,1,6474
92,377,1,6475
93,394,1,6492
94,409,1,6507
95,439,1,6537
96,451,1,6549
97,457,1,6555
98,468,1,6566
99,490,1,6588
100,187,303,6891
101,492,1,7196
102,513,1,7217
103,514,1,7218
104,537,1,7241
105,542,1,7246
106,546,1,7250
107,559,1,7263
108,567,1,7271
109,585,1,7289
110,101,484,7773
111,113,1,7785
