0,511,3,33
1,530,3,90
2,539,3,117
3,544,3,132
4,546,3,138
5,549,3,147
6,551,3,153
7,564,3,192
8,566,3,198
9,570,3,210
10,575,3,225
11,619,3,357
12,625,3,375
13,627,3,381
14,628,3,384
15,634,3,402
16,637,3,411
17,654,3,462
18,660,3,480
19,661,3,483
20,703,3,609
21,704,3,612
22,715,3,645
23,728,3,684
24,737,3,711
25,745,3,735
26,748,3,744
27,757,3,771
28,762,3,786
29,767,3,801
30,771,3,813
31,785,3,855
32,806,3,918
33,807,3,921
34,813,3,939
35,826,3,978
36,829,3,987
37,832,3,996
38,837,3,1011
39,839,3,1017
40,842,3,1026
41,853,3,1059
42,874,3,1122
43,882,3,1146
44,887,3,1161
45,892,3,1176
46,920,3,1260
47,921,3,1263
48,927,3,1281
49,935,3,1305
50,937,3,1311
51,955,3,1365
52,958,3,1374
53,966,3,1398
54,974,3,1422
55,853,3,1935
56,837,3,1983
57,660,3,2514
58,498,3,3000
59,488,3,3030
60,460,3,3114
61,447,3,3153
62,426,3,3216
63,393,3,3315
64,376,3,3366
65,373,3,3375
66,372,3,3378
67,368,3,3390
68,366,3,3396
69,350,3,3444
70,342,3,3468
71,330,3,3504
72,326,3,3516
73,313,3,3555
74,311,3,3561
75,305,3,3579
76,301,3,3591
77,299,3,3597
78,298,3,3600
79,297,3,3603
80,291,3,3621
81,289,3,3627
82,251,3,3741
83,232,3,3798
84,203,3,3885
85,198,3,3900
86,196,3,3906
87,186,3,3936
88,185,3,3939
89,184,3,3942
90,181,3,3951
91,145,3,4059
92,117,3,4143
93,79,3,4257
94,71,3,4281
95,57,3,4323
96,54,3,4332
97,37,3,4383
98,33,3,4395
99,57,3,4665
